,FIPS,candidatevotes,totalvotes,Lat,Long_
523,16005,17180.0,33416,42.67002716,-112.2233311
524,16007,2203.0,2928,42.28269683,-111.32892379999998
525,16009,3103.0,4185,47.21754179,-116.6586851
526,16011,10907.0,16625,43.21672879999999,-112.3978437
527,16013,3340.0,10724,43.4085812,-113.9752658
528,16015,2673.0,3814,43.98829931,-115.7309284
529,16017,13343.0,20943,48.29996017,-116.6017932
530,16019,26699.0,44221,43.38713372,-111.6161537
531,16021,3789.0,5163,48.76684761,-116.4630179
532,16023,914.0,1230,43.72592209,-113.1735463
533,16025,410.0,590,43.46665742,-114.8065892
534,16027,47222.0,72785,43.61970148,-116.7095499
535,16029,2275.0,3035,42.77149116,-111.5597683
536,16031,5949.0,8178,42.28347888,-113.6012409
537,16033,203.0,283,44.28496071,-112.3505704
538,16035,2852.0,3801,46.67459924,-115.6622393
539,16037,1777.0,2414,44.24186819,-114.2855494
540,16039,5816.0,8522,43.3507101,-115.4701578
541,16041,3901.0,5499,42.18332217,-111.8149666
542,16043,4090.0,5715,44.22800938,-111.4809943
543,16045,5980.0,7954,44.06482372,-116.398376
544,16047,3743.0,5191,42.96927962,-114.8108306
545,16049,6441.0,8233,45.84721541,-115.4634436
546,16051,8436.0,11475,43.82078483,-112.3131749
547,16053,4644.0,6751,42.68891267,-114.2655033
548,16055,44449.0,66310,47.67282258,-116.7020872
549,16057,7265.0,18173,46.81587887,-116.7113698
550,16059,3011.0,4096,44.9438088,-113.9309747
551,16061,1202.0,1590,46.23315327,-116.434146
552,16063,1184.0,1748,43.0012336,-114.1358773
553,16065,8941.0,15688,43.78141028,-111.65384740000002
554,16067,4887.0,6871,42.85518524,-113.6357257
555,16069,10699.0,17201,46.32638236,-116.7500975
556,16071,1531.0,2068,42.19494279999999,-112.5407838
557,16073,3052.0,3925,42.58016894,-116.1693871
558,16075,6489.0,8704,44.00545243,-116.7647695
559,16077,1666.0,2758,42.69254894,-112.83957420000002
560,16079,3297.0,5120,47.35364087,-115.8916749
